street,lon,lat
"Dvořákovo nábrežie, Bratislava",NA,NA
"Výtvarná, Bratislava",NA,NA
"Pražská, Bratislava",17.0996046,48.1618098
"Vlčkova, Bratislava",NA,NA
"kamenná, Bratislava",NA,NA
"Prievozská, Bratislava",NA,NA
"Daxnerovo námestie, Bratislava",17.1330722,48.1528101
"Fedinová, Bratislava",17.1028701,48.1174269
"Komonicová, Bratislava",17.0406237,48.15153429999999
"Štefánikova, Bratislava",17.1066226,48.1523332
"Na Grunte, Bratislava",17.131318,48.19537150000001
"Hnilecká, Bratislava",NA,NA
"Rusovská, Bratislava",NA,NA
"Čárskeho, Bratislava",17.0545619,48.1602269
"Gelnická, Bratislava",17.1548108,48.2131493
"Banskobystrická, Bratislava",NA,NA
"Uhrova, Bratislava",17.0949881,48.1644977
"Na Križovatkách, Bratislava",NA,NA
"Šášovská, Bratislava",17.107087,48.0974051
"Švabinského, Bratislava",NA,NA
"Narcisova, Bratislava",17.1613448,48.1552188
"Vajnory (Bratislava III), Bratislava",NA,NA
"Björnsonova, Bratislava",17.1147304,48.15572
"Hradska, Bratislava",NA,NA
"Polárna, Bratislava",NA,NA
"Brnianska, Bratislava",17.0847183,48.1647459
"Starhradská, Bratislava",NA,NA
"Latorická, Bratislava",17.2120463,48.135396
"Palisády, Bratislava",17.0994683,48.1465604
"Vigľašská, Bratislava",17.1078517,48.0970303
"Drienova, Bratislava",17.1548693,48.16018709999999
"Uzbecká, Bratislava",NA,NA
"Pri Šajbách, Bratislava",17.1609633,48.2035801
"Hanulova, Bratislava",17.0402969,48.1787533
"Nábrežie arm. gen. L. Svobodu, Bratislava",NA,NA
"Ventúrska, Bratislava",17.1064961,48.142974
"pešia zóna, Bratislava",NA,NA
"Agátová, Bratislava",NA,NA
"Muškátová, Bratislava",NA,NA
"Dudvážska, Bratislava",NA,NA
"Schneidera - Trnavského, Bratislava",17.045259,48.17809039999999
"Popolná, Bratislava",NA,NA
"Rovníková, Bratislava",17.1673387,48.1602168
"Športová, Bratislava",NA,NA
"Panenská, Bratislava",17.104131,48.1479268
"Jungmanova, Bratislava",17.1144008,48.1249798
"Fedákova, Bratislava",17.033119,48.1926077
"Detvianska, Bratislava",17.1542318,48.2119011
"Pri vinohradoch, Bratislava",17.157843,48.2158786
"Klemensova, Bratislava",17.1187104,48.1436952
"Kristy Bendovej, Bratislava",17.0309599,48.1955719
"Záhorská Bystrica, Bratislava",17.0387275,48.241632
"Lachova, Bratislava",17.1177737,48.1243239
"Hurbanovo námestie, Bratislava",17.1076336,48.1459972
"Višňová, Bratislava",17.0965796,48.166693
"Hviezdoslavovo námestie, Bratislava",17.1055257,48.1407482
"Čiernovodská, Bratislava",17.2112265,48.1392487
"Budovateľská, Bratislava",17.1266926,48.1493951
"Záhradnícka ul, Bratislava",17.1331673,48.1546755
"Vrútocká, Bratislava",NA,NA
"Tupolevova, Bratislava",17.1038319,48.1128593
"Wilsonova, Bratislava",17.1207991,48.15482
"Halova, Bratislava",17.1065939,48.1211743
"Latoricka, Bratislava",17.2120463,48.135396
"Nejedého, Bratislava",17.0369572,48.19303190000001
"Sokolská, Bratislava",17.1033094,48.157024
"Vŕbová x, Bratislava",17.2083921,48.14128969999999
"Kalinčiakova, Bratislava",17.1343234,48.1608305
"Závadská, Bratislava",17.1575692,48.2126761
"Považanova, Bratislava",NA,NA
"ul. Planét, Bratislava",17.1710203,48.1632085
"Tokajícka, Bratislava",17.1507818,48.1618609
"Šachorová, Bratislava",17.2079676,48.1977758
"Železničiarska, Bratislava",17.1094965,48.15710929999999
"Živnostenská, Bratislava",17.1114206,48.1494042
"Homolova, Bratislava",17.027624,48.1945629
"Banšelova, Bratislava",17.1674628,48.1746372
"Miloslavov, Bratislava",NA,NA
"Starý Ružinov, Bratislava",17.1398196,48.1582054
"Štefanovičova, Bratislava",NA,NA
"Svoradova, Bratislava",17.1008225,48.1455111
"Novohorská, Bratislava",17.1461653,48.2092079
"Súmračná, Bratislava",NA,NA
"Brezová, Bratislava",17.1948575,48.1471368
"Romanova, Bratislava",NA,NA
"Perla Ružinova, Bratislava",17.1665482,48.1498561
"Vietnamská, Bratislava",NA,NA
"Karadžičova, Bratislava",NA,NA
"Sliačska, Bratislava",NA,NA
"Firmova, Bratislava",17.1569935,48.0435722
"nezadaná, Bratislava",NA,NA
"Bilíkova, Bratislava",NA,NA
"Jakubovo námestie, Bratislava",17.1199674,48.1433052
"Hummelova, Bratislava",17.0910239,48.1473178
"Nové Mesto (Bratislava I), Bratislava",NA,NA
"Bajzova, Bratislava",17.1390838,48.1590304
"Mierova, Bratislava",NA,NA
"Púpavová, Bratislava",17.0500488,48.1646313
"Krasovského, Bratislava",NA,NA
"Tománkova, Bratislava",NA,NA
"Marie Curie - Sklodowskej, Bratislava",NA,NA
"Raketová ulica, Bratislava",NA,NA
"Ladislava Dérera, Bratislava",NA,NA
"na piesku /A, Bratislava",17.1854275,48.1555488
"neuvedená, Bratislava",17.1077478,48.1485965
"Nová Rožňavská ulica, Bratislava",NA,NA
"Hutnícka, Bratislava",16.9852576,48.1722201
"Votrubova, Bratislava",17.1357197,48.1438005
"Lermontovova, Bratislava",17.1049599,48.1510648
"Cesta na Klanec, Bratislava",17.0595562,48.1922021
"Zuzany Chalupkovej, Bratislava",NA,NA
"Námestie . mája 2, Bratislava",17.1099615,48.1491865
"Rázusovo nábrežie, Bratislava",NA,NA
"Čiližska, Bratislava",NA,NA
"Dankovského, Bratislava",NA,NA
"Skalická cesta, Bratislava",17.1279382,48.1824541
