balcony,price,no_of_bedrooms,basement,street,size,elevator,district,floor,material,status
Yes,134000,3,No,Holíčska,70,Yes,petrzalka,bottom,panel,refurbished
Yes,152000,2,No,Údernícka,58,Yes,petrzalka,other,brick,refurbished
No,85000,1,Yes,Saratovská,41,Yes,dubravka,bottom,panel,refurbished
Yes,88000,1,Yes,Tomášikova,30,Yes,nove_mesto,rest,other,refurbished
Yes,121400,2,Yes,Tomášikova,45,Yes,nove_mesto,rest,other,refurbished
Yes,184600,3,Yes,Tomášikova,65,Yes,nove_mesto,rest,other,refurbished
Yes,301250,4,Yes,Tomášikova,107,Yes,nove_mesto,rest,other,refurbished
Yes,135000,3,Yes,Holíčska,66,Yes,petrzalka,bottom,panel,partial_refurbishment
No,155900,3,No,Budovateľská,62,No,ruzinov,top,brick,refurbished
No,155900,3,No,Budovateľská,62,No,ruzinov,top,brick,refurbished
Yes,135000,3,Yes,Mlynarovičova,72,Yes,petrzalka,other,panel,refurbished
Yes,139000,3,No,Vavilovova,74,Yes,petrzalka,other,panel,partial_refurbishment
Yes,480000,3,No,Boženy Němcovej,153,Yes,stare_mesto,other,brick,refurbished
No,130000,3,No,Exnárova,72,Yes,ruzinov,rest,panel,refurbished
Yes,214000,4,Yes,Slávičie údolie,106,Yes,stare_mesto,other,brick,old
No,182000,2,No,Klobučnícka,55,Yes,stare_mesto,other,brick,refurbished
No,88000,2,Yes,Studenohorská,43,Yes,lamac,other,panel,partial_refurbishment
No,133000,3,No,Hrachová,60,No,ruzinov,rest,brick,refurbished
Yes,549000,2,Yes,Pribinova,71,Yes,stare_mesto,other,other,refurbished
No,98500,3,No,Korytnická,72,Yes,podunajske_biskupice,other,panel,old
No,88000,1,No,Bohrova,37,Yes,petrzalka,other,panel,refurbished
Yes,299500,3,No,Detvianska,145,No,raca,top,brick,refurbished
Yes,125000,1,Yes,Sklenárova,40,Yes,ruzinov,bottom,panel,refurbished
Yes,98000,3,Yes,Korytnická,69,Yes,podunajske_biskupice,other,panel,old
No,183000,3,Yes,Koceľova,77,Yes,ruzinov,other,brick,refurbished
Yes,274000,4,Yes,Svätoplukova,105,No,ruzinov,other,brick,refurbished
Yes,305000,4,No,Trenčianska,200,No,ruzinov,top,brick,refurbished
Yes,128200,3,Yes,Bebravská,74,Yes,vrakuna,bottom,brick,refurbished
Yes,135000,3,Yes,Jasovská,84,Yes,petrzalka,top,panel,refurbished
Yes,148000,4,Yes,Haanova 3,87,Yes,petrzalka,bottom,panel,partial_refurbishment
Yes,142000,3,Yes,Budatínska,68,Yes,petrzalka,other,panel,refurbished
