balcony,no_of_bedrooms,basement,street,size,elevator,district,floor,material,status,price
No,3,Yes,other,2.75086616014675,Yes,stare_mesto,other,brick,refurbished,5.52891670027766
Yes,1,Yes,other,2.56086405021975,Yes,stare_mesto,bottom,brick,refurbished,5.21879799811174
Yes,2,Yes,other,2.66112272612234,Yes,stare_mesto,other,brick,refurbished,5.5910646070265
Yes,2,No,other,2.61788948807064,Yes,stare_mesto,other,brick,refurbished,5.60745502321467
Yes,3,No,other,2.55591447549606,Yes,podunajske_biskupice,other,panel,old,5.02938377768521
No,2,Yes,other,2.48812516602843,No,stare_mesto,top,brick,partial_refurbishment,5.19033169817029
Yes,2,No,other,2.37112673569579,Yes,petrzalka,other,brick,refurbished,5.04532297878666
Yes,3,Yes,other,2.57978224404418,Yes,petrzalka,bottom,panel,partial_refurbishment,5.12710479836481
No,3,Yes,other,2.51844157614637,No,stare_mesto,other,brick,refurbished,5.29003461136252
No,4,Yes,other,2.6440149612966,No,ruzinov,bottom,brick,refurbished,5.17897694729317
No,2,No,other,2.48812516602843,Yes,petrzalka,other,panel,partial_refurbishment,5.07736790528416
Yes,2,No,other,2.46125468645054,Yes,podunajske_biskupice,other,brick,refurbished,5.05269394192497
No,4,Yes,other,2.37112673569579,No,podunajske_biskupice,rest,brick,refurbished,4.97772360528885
Yes,4,Yes,other,2.92524671129882,Yes,stare_mesto,top,brick,refurbished,5.73957234445009
Yes,3,Yes,other,2.56086405021975,Yes,dubravka,bottom,panel,refurbished,5.13033286773515
No,2,No,other,2.54573010759662,Yes,stare_mesto,other,brick,refurbished,5.31175386105575
No,1,No,other,2.33023317850707,No,podunajske_biskupice,bottom,brick,refurbished,4.88081359228079
Yes,2,Yes,other,2.47500946563237,Yes,ruzinov,rest,panel,refurbished,5.06145247908719
No,3,No,other,2.70619851933021,Yes,stare_mesto,other,brick,refurbished,5.568201724067
Yes,2,Yes,other,2.48164384502275,Yes,ruzinov,other,brick,refurbished,5.00389116623691
Yes,2,Yes,other,2.48164384502275,Yes,nove_mesto,bottom,panel,partial_refurbishment,5.07554696139253
Yes,3,Yes,other,2.54573010759662,No,nove_mesto,top,brick,refurbished,5.19033169817029
Yes,3,Yes,other,2.52968922278751,Yes,karlova_ves,top,panel,refurbished,5.08635983067475
Yes,3,No,other,2.69784009124261,Yes,stare_mesto,other,brick,refurbished,5.41497334797082
Yes,2,Yes,other,2.41553369643773,Yes,ruzinov,other,panel,refurbished,5.06069784035361
No,2,Yes,other,2.48812516602843,No,stare_mesto,top,brick,partial_refurbishment,5.20411998265593
Yes,2,No,other,2.48812516602843,Yes,ruzinov,other,panel,refurbished,5.13033376849501
Yes,3,Yes,other,2.62179254782945,Yes,petrzalka,other,panel,partial_refurbishment,5.11727129565576
Yes,3,Yes,other,2.63682525855683,Yes,stare_mesto,other,brick,refurbished,5.45484486000851
Yes,4,Yes,other,2.79377707708722,Yes,petrzalka,top,brick,refurbished,5.62323894992999
Yes,3,Yes,other,2.59742013477924,Yes,petrzalka,other,panel,partial_refurbishment,5.12254352406875
Yes,3,No,other,2.58430553381761,Yes,devinska_nova_ves,bottom,panel,refurbished,5.08600370561838
Yes,2,Yes,other,2.512639036679,Yes,nove_mesto,bottom,other,refurbished,5.25088820231676
Yes,4,Yes,other,2.70619851933021,Yes,nove_mesto,other,other,refurbished,5.51481462230313
Yes,2,Yes,other,2.5404886497767,Yes,nove_mesto,bottom,other,refurbished,5.28733136272058
Yes,4,Yes,other,2.73451228785198,Yes,nove_mesto,bottom,other,refurbished,5.51823879956905
Yes,3,Yes,other,2.55591447549606,Yes,karlova_ves,bottom,panel,partial_refurbishment,5.07151380509509
No,3,No,other,2.55087091129225,Yes,vrakuna,bottom,panel,partial_refurbishment,4.99563519459755
Yes,4,Yes,other,2.7116099244797,Yes,nove_mesto,bottom,other,refurbished,5.5242312017083
Yes,4,Yes,other,2.78038112975188,Yes,nove_mesto,bottom,other,refurbished,5.60783339155984
Yes,2,Yes,other,2.5404886497767,Yes,nove_mesto,other,other,refurbished,5.29718690750785
Yes,4,Yes,other,2.7116099244797,Yes,nove_mesto,other,other,refurbished,5.53408451600575
Yes,4,Yes,other,2.70065932218732,Yes,nove_mesto,bottom,other,refurbished,5.5899618819729
Yes,3,Yes,other,2.62563607643843,Yes,nove_mesto,bottom,other,refurbished,5.47288364826348
Yes,3,Yes,other,2.65100162379407,Yes,nove_mesto,bottom,other,refurbished,5.47868911957952
Yes,3,Yes,other,2.67710886312593,Yes,nove_mesto,bottom,other,refurbished,5.55945175356562
Yes,3,Yes,other,2.67710886312593,Yes,nove_mesto,other,base,refurbished,5.54461862876756
No,1,Yes,other,2.44680272804919,No,stare_mesto,other,brick,old,5.04099769242349
Yes,4,No,other,2.67084050168301,Yes,dubravka,other,brick,refurbished,5.34242268082221
Yes,4,Yes,other,2.70065932218732,No,stare_mesto,other,brick,refurbished,5.4983105537896
No,1,No,other,2.41553369643773,No,nove_mesto,bottom,panel,partial_refurbishment,5.01870049866624
No,2,No,other,2.55591447549606,Yes,nove_mesto,other,brick,refurbished,5.33162971762993
Yes,2,Yes,other,2.37112673569579,Yes,devinska_nova_ves,rest,other,refurbished,4.89226160691554
Yes,3,No,other,2.57049346871562,Yes,podunajske_biskupice,other,panel,refurbished,5.02530586526477
Yes,1.5,No,other,2.37112673569579,Yes,vrakuna,other,panel,partial_refurbishment,4.60097289568675
Yes,3,Yes,other,2.56086405021975,No,stare_mesto,bottom,brick,partial_refurbishment,5.20682587603185
No,2,Yes,other,2.41553369643773,Yes,stare_mesto,other,panel,refurbished,5.09586645347854
Yes,2,No,other,2.55591447549606,Yes,petrzalka,top,brick,refurbished,5.20411998265593
Yes,3,Yes,other,2.60989800921489,Yes,stare_mesto,other,brick,refurbished,5.44950925382714
Yes,3,Yes,other,2.57049346871562,Yes,petrzalka,other,panel,partial_refurbishment,5.10037054511756
Yes,2,No,other,2.3985544514435,Yes,dubravka,other,panel,old,4.99563519459755
Yes,3,Yes,other,2.68321803960761,No,devin,top,brick,refurbished,5.33243845991561
Yes,1,No,other,2.36140225854616,Yes,nove_mesto,other,brick,refurbished,4.97772360528885
Yes,2,Yes,other,2.46821542137881,Yes,podunajske_biskupice,rest,panel,refurbished,4.98677173426625
No,2,No,other,2.33023317850707,No,podunajske_biskupice,other,brick,refurbished,4.92941892571429
No,2,No,other,2.52968922278751,No,raca,other,brick,refurbished,5.01703333929878
Yes,2,Yes,other,2.54573010759662,Yes,vrakuna,bottom,other,partial_refurbishment,5.04139268515823
No,3,No,other,2.62563607643843,Yes,stare_mesto,other,brick,refurbished,5.26221370547642
Yes,2,No,other,2.50065315185266,No,ruzinov,other,panel,refurbished,5.13033376849501
Yes,3,No,other,2.66112272612234,Yes,stare_mesto,other,brick,refurbished,5.53147891704226
No,4,Yes,other,2.75086616014675,No,stare_mesto,bottom,brick,refurbished,5.60097289568675
Yes,3,Yes,other,2.52412349687282,Yes,vrakuna,bottom,brick,refurbished,5.06818214981165
No,2,Yes,other,2.43158755086612,No,podunajske_biskupice,top,brick,refurbished,4.88649072517248
Yes,3,No,other,2.5931221847288,Yes,vajnory,other,panel,refurbished,4.99999565703347
No,2,Yes,other,2.41553369643773,No,nove_mesto,other,brick,old,5.11727129565576
Yes,3,Yes,other,2.60580603149132,Yes,stare_mesto,other,brick,refurbished,5.42651126136458
Yes,1.5,Yes,other,2.33023317850707,Yes,petrzalka,other,panel,refurbished,4.99563519459755
Yes,4,No,other,2.88670577688929,Yes,nove_mesto,top,brick,refurbished,5.57977216766427
Yes,3,No,other,2.66440535899664,Yes,nove_mesto,other,brick,refurbished,5.39792263654532
Yes,3,No,other,2.56572273107389,No,podunajske_biskupice,bottom,panel,partial_refurbishment,5.02118929906994
Yes,2,Yes,other,2.3985544514435,Yes,petrzalka,bottom,base,refurbished,4.93601079571521
Yes,3,Yes,other,2.51844157614637,Yes,petrzalka,bottom,base,refurbished,5.08008869662738
No,2,Yes,other,2.48812516602843,Yes,nove_mesto,bottom,brick,refurbished,5.10720996964787
No,1,Yes,other,2.27023601659818,Yes,podunajske_biskupice,top,panel,refurbished,4.81291335664286
Yes,1,No,other,2.29560564220352,No,dubravka,other,panel,old,4.89209460269048
No,2,No,other,2.35135834444068,Yes,stare_mesto,other,brick,refurbished,5.11394335230684
No,1.5,No,other,2.35135834444068,Yes,stare_mesto,other,brick,refurbished,5.11394335230684
No,2,Yes,other,2.57049346871562,Yes,vrakuna,other,panel,refurbished,5.05307844348342
Yes,2,Yes,other,2.58430553381761,Yes,ruzinov,other,brick,refurbished,5.21722065564452
Yes,3,Yes,other,2.57517907759246,Yes,petrzalka,other,panel,refurbished,5.13033376849501
Yes,3,Yes,other,2.60580603149132,Yes,ruzinov,other,brick,refurbished,5.14581771449183
No,2,No,other,2.35135834444068,Yes,stare_mesto,other,brick,refurbished,5.11394335230684
Yes,3,No,other,2.65100162379407,No,raca,other,brick,refurbished,5.37106786227174
No,4,Yes,other,2.89482377814828,Yes,stare_mesto,top,brick,refurbished,5.56217386336465
Yes,1,Yes,other,2.35135834444068,Yes,devinska_nova_ves,other,panel,refurbished,4.94448267215017
Yes,3,Yes,other,2.57978224404418,Yes,nove_mesto,other,brick,refurbished,5.37657695705651
No,2,Yes,other,2.3985544514435,Yes,ruzinov,other,panel,refurbished,5.03742649794062
Yes,2,No,other,2.57049346871562,Yes,ruzinov,bottom,brick,refurbished,5.19312459835446
No,3,No,other,2.56572273107389,No,podunajske_biskupice,other,brick,refurbished,5.23451728351269
No,3,No,other,2.57049346871562,No,podunajske_biskupice,rest,brick,refurbished,5.2380461031288
Yes,4,Yes,other,2.89138563852438,No,raca,other,brick,refurbished,5.37748838337613
No,1,Yes,other,2.33023317850707,Yes,petrzalka,other,panel,partial_refurbishment,4.97772360528885
Yes,3,Yes,other,2.56086405021975,Yes,devinska_nova_ves,other,panel,partial_refurbishment,5.12385164096709
Yes,4,Yes,other,2.64753302664155,No,raca,other,brick,refurbished,5.2405492482826
Yes,2,Yes,other,2.48812516602843,Yes,ruzinov,rest,panel,refurbished,5.09691001300806
Yes,3,Yes,other,2.58430553381761,No,raca,other,brick,refurbished,5.17318626841227
No,3,Yes,other,2.57978224404418,Yes,ruzinov,bottom,panel,refurbished,5.09691001300806
Yes,1.5,No,other,2.44680272804919,Yes,petrzalka,other,panel,refurbished,5.07188200730613
No,4,No,other,2.74400114569451,No,nove_mesto,other,brick,refurbished,5.48372989900002
No,2,Yes,other,2.59742013477924,No,stare_mesto,rest,brick,refurbished,5.30749603791321
Yes,1,No,other,2.35135834444068,Yes,devinska_nova_ves,other,panel,partial_refurbishment,4.94200805302231
Yes,1,Yes,other,2.38054954862841,Yes,devinska_nova_ves,rest,panel,refurbished,4.9566485792052
Yes,3,Yes,other,2.67399504332347,No,raca,other,brick,refurbished,5.37106786227174
No,2,Yes,other,2.5404886497767,No,stare_mesto,top,brick,partial_refurbishment,5.17289469775218
Yes,2,No,other,2.57049346871562,No,stare_mesto,other,brick,refurbished,5.21218760440396
No,1,Yes,other,2.3985544514435,Yes,ruzinov,other,panel,refurbished,5.02530586526477
No,2,Yes,other,2.36140225854616,Yes,nove_mesto,other,panel,refurbished,5.00774777800074
Yes,2,No,other,2.38054954862841,No,dubravka,other,other,partial_refurbishment,5.07188200730613
Yes,2,No,other,2.38054954862841,No,dubravka,other,panel,partial_refurbishment,5.07918124604763
No,1,Yes,other,2.37112673569579,Yes,devinska_nova_ves,other,brick,refurbished,4.93196611472817
No,2,Yes,other,2.67710886312593,Yes,stare_mesto,bottom,other,refurbished,5.5910646070265
Yes,1,No,other,2.33023317850707,Yes,nove_mesto,bottom,brick,refurbished,4.99361255793889
Yes,1,No,other,2.33023317850707,Yes,nove_mesto,other,brick,refurbished,5.04143216468027
Yes,1,No,other,2.33023317850707,Yes,nove_mesto,other,brick,refurbished,5.04143216468027
Yes,1,No,other,2.33023317850707,Yes,nove_mesto,other,brick,refurbished,5.04898530257071
Yes,2,No,other,2.37112673569579,Yes,nove_mesto,other,brick,refurbished,5.09203603894446
Yes,2,No,other,2.45411978023144,Yes,nove_mesto,bottom,brick,refurbished,5.13595909212456
Yes,2,No,other,2.45411978023144,Yes,nove_mesto,other,brick,refurbished,5.15234950831273
Yes,2,No,other,2.46125468645054,Yes,nove_mesto,other,brick,refurbished,5.17632282103499
Yes,2,No,other,2.46125468645054,Yes,nove_mesto,other,brick,refurbished,5.17632282103499
Yes,2,No,other,2.46125468645054,Yes,nove_mesto,other,brick,refurbished,5.18400964970128
Yes,2,No,other,2.46125468645054,Yes,stare_mesto,other,brick,refurbished,5.18400964970128
Yes,2,No,other,2.46125468645054,Yes,nove_mesto,other,brick,refurbished,5.19156278759173
Yes,2,No,other,2.46125468645054,Yes,nove_mesto,other,brick,refurbished,5.19156278759173
No,3,No,other,2.57978224404418,Yes,ruzinov,rest,panel,refurbished,5.15533603746506
Yes,1.5,No,other,2.50671120742167,Yes,petrzalka,other,panel,partial_refurbishment,5.04921802267018
No,3,No,other,2.58430553381761,Yes,stare_mesto,other,brick,refurbished,5.51851393987789
No,3,Yes,other,2.45411978023144,Yes,podunajske_biskupice,other,panel,refurbished,4.98676725698047
No,2,Yes,other,2.45411978023144,Yes,podunajske_biskupice,other,panel,refurbished,4.98676725698047
No,1,Yes,other,2.33023317850707,Yes,vrakuna,other,panel,refurbished,4.86331691084023
Yes,2,No,other,2.47500946563237,Yes,ruzinov,top,panel,refurbished,5.07914505333275
Yes,3,Yes,other,2.54573010759662,No,ruzinov,other,brick,refurbished,5.15533603746506
Yes,2,No,other,2.43929501765442,Yes,nove_mesto,other,panel,refurbished,5.03742649794062
Yes,3,Yes,other,2.59742013477924,Yes,lamac,other,panel,refurbished,5.13353890837022
Yes,2,No,other,2.48812516602843,Yes,petrzalka,other,panel,refurbished,5.16731733474818
No,4,No,other,2.60580603149132,Yes,podunajske_biskupice,other,panel,refurbished,5.07914505333275
Yes,3,No,other,2.65100162379407,Yes,nove_mesto,other,other,old,5.35218251811136
Yes,2,Yes,other,2.47500946563237,Yes,nove_mesto,other,panel,partial_refurbishment,5.07188200730613
No,1.5,No,other,2.38054954862841,No,vrakuna,other,panel,refurbished,4.74429298312268
No,1.5,No,other,2.38968707798256,Yes,vrakuna,other,panel,refurbished,4.69019608002851
Yes,2,No,other,2.48812516602843,Yes,petrzalka,other,brick,refurbished,5.16106838547117
No,2,No,other,2.57978224404418,No,nove_mesto,bottom,brick,refurbished,5.12678057701201
Yes,2,No,other,2.48812516602843,Yes,petrzalka,other,brick,refurbished,5.15503222879097
No,3,No,other,2.65779530462365,Yes,ruzinov,bottom,brick,refurbished,5.29666519026153
No,3,Yes,other,2.56572273107389,Yes,nove_mesto,bottom,panel,refurbished,5.19589965240923
Yes,2,Yes,other,2.43158755086612,Yes,ruzinov,bottom,panel,refurbished,5.06818586174616
Yes,2,Yes,other,2.48812516602843,Yes,petrzalka,other,brick,refurbished,5.15503222879097
