id,price,area,listed,price_per_sqm,street,no_of_bedrooms,url_saved,district
5594786,131800,78,30.5.2018,1689,Vavilovova,3,https://www.topreality.sk/3i-byt-na-vavilovovej-ulici-s-exkluzivnym-vyhladom-na-bratislavu-r5594786.html,Bratislava V
5577281,141800,60,30.5.2018,NA,Drieňová,2,https://www.topreality.sk/2i-byt-na-prenajom-v-novostavbe-zariadeny-pri-strkovci-r5577281.html,Bratislava II
5577279,399e3,75,30.5.2018,1890,Tilgnerova,3,https://www.topreality.sk/3i-slnecny-byt-v-karlovej-vsi-r5577279.html,Bratislava IV
5568384,249e3,50,30.5.2018,NA,Veternicová,2,https://www.topreality.sk/2i-byt-na-dlhych-dieloch-na-prenajom-r5568384.html,Bratislava IV
6494178,142e3,180,30.5.2018,2216,Štefánikova,4,https://www.topreality.sk/predaj-6-izbovy-byt-180m2-balkon-parkovacie-statie-centrum-mesta-stefanikova-ulica-stare-mesto-bai-r6494178.html,Bratislava I
6494135,199999,82,30.5.2018,3036,Špitálska,3,https://www.topreality.sk/3-izbovy-mezonetovy-byt-na-predaj-nadstavba-v-centre-mesta-vo-vysokom-standarde-spitalska-ul-www-bestreality-sk-r6494135.html,Bratislava I
6233120,125e3,60,30.5.2018,2366,Slávičie údolie,2,https://www.topreality.sk/exkluzivny-predaj-2-i-byt-60-m2-slavicie-udolie-bratislava-i-stare-mesto-cena-142-000-r6233120.html,Bratislava I
6493138,168e3,75,29.5.2018,2666,Železničiarska,2,https://www.topreality.sk/reality-holding-ponuka-2-izbovy-byt-na-predaj-bratislava-stare-mesto-zelezniciarska-top-ponuka-r6493138.html,Bratislava I
6493137,123e3,58,29.5.2018,2155,Pri kríži,2,https://www.topreality.sk/reality-holding-ponuka-bratislava-dubravka-pri-krizi-na-predaj-2-izbovy-byt-top-ponuka-r6493137.html,Bratislava IV
6493135,115e3,78,29.5.2018,2153,Kpt. Rašu,4,https://www.topreality.sk/reality-holding-ponuka-bratislava-dubravka-kpt-rasu-4-izbovy-byt-na-predaj-top-ponuka-r6493135.html,Bratislava IV
6492704,99500,45,29.5.2018,2733,Žltá,2,https://www.topreality.sk/reality-holding-ponuka-bratislava-petrzalka-zlta-na-predaj-2-izbovy-byt-top-ponuka-r6492704.html,Bratislava V
6492701,285e3,54,29.5.2018,2129,Osuského,2,https://www.topreality.sk/reality-holding-ponuka-bratislava-petrzalka-osuskeho-na-predaj-2-izbovy-byt-top-ponuka-r6492701.html,Bratislava V
6492692,169e3,44,29.5.2018,2261,Mesačná,1,https://www.topreality.sk/rezervovane-ihned-volny-utulny-slnecny-1-5i-byt-ul-mesacna-ruzinov-r6492692.html,Bratislava II
6491854,13e4,125,28.5.2018,2280,Štefánikova,3,https://www.topreality.sk/3-izbovy-byt-na-predaj-125-m2-po-rekonstrukcii-balkon-centrum-stefanikova-ul-www-bestreality-sk-r6491854.html,Bratislava I
6462957,141800,68,28.5.2018,2485,Budovateľská,3,https://www.topreality.sk/predaj-3-izb-byt-budovatelska-ul-nivy-r6462957.html,Bratislava II
6491520,399e3,61,28.5.2018,2131,Kadnárová,2,https://www.topreality.sk/2-izbovy-byt-v-raci-kadnarova-ul-r6491520.html,Bratislava III
6491032,129900,57,28.5.2018,2278,Hraničná,2,https://www.topreality.sk/predaj-2-izbovy-byt-57m2-pivnica-ciastocna-rekonstrukcia-hranicna-ulica-ruzinov-bratislava-ii-r6491032.html,Bratislava II
6490732,375e3,135,27.5.2018,2777,Letná,4,https://www.topreality.sk/predaj-4i-byt-s-peknym-vyhladom-na-kamzik-ba-iii-r6490732.html,Bratislava III
